Scenario,Asset,Strategy,Seed,Final Date,Final Value,Total Invested,Random Value
A,^GSPC,first,48,4/11/25,2684.99,2500,2688.75
A,^GSPC,first,49,4/11/25,2684.99,2500,2686.21
A,^GSPC,first,50,4/11/25,2684.99,2500,2612.36
A,^GSPC,first,51,4/11/25,2684.99,2500,2617.71
A,^GSPC,first,52,4/11/25,2684.99,2500,2731.71
A,^GSPC,first,53,4/11/25,2684.99,2500,2719.09
A,^GSPC,first,54,4/11/25,2684.99,2500,2583.99
A,^GSPC,first,55,4/11/25,2684.99,2500,2693.08
A,^GSPC,first,56,4/11/25,2684.99,2500,2653.66
A,^GSPC,first,57,4/11/25,2684.99,2500,2580.71
A,^GSPC,first,58,4/11/25,2684.99,2500,2663.37
A,^GSPC,first,59,4/11/25,2684.99,2500,2740.05
A,^GSPC,first,60,4/11/25,2684.99,2500,2774.43
A,^GSPC,first,61,4/11/25,2684.99,2500,2703.53
A,^GSPC,first,62,4/11/25,2684.99,2500,2733.53
A,^GSPC,first,63,4/11/25,2684.99,2500,2729.68
A,^GSPC,first,64,4/11/25,2684.99,2500,2766.49
A,^GSPC,first,65,4/11/25,2684.99,2500,2648.17
A,^GSPC,first,66,4/11/25,2684.99,2500,2704.51
A,^GSPC,first,67,4/11/25,2684.99,2500,2719.02
A,^GSPC,first,68,4/11/25,2684.99,2500,2617.92
A,^GSPC,first,69,4/11/25,2684.99,2500,2566.28
A,^GSPC,first,70,4/11/25,2684.99,2500,2767.21
A,^GSPC,first,71,4/11/25,2684.99,2500,2734.78
A,^GSPC,first,72,4/11/25,2684.99,2500,2685.41
A,^GSPC,first,73,4/11/25,2684.99,2500,2663.36
A,^GSPC,first,74,4/11/25,2684.99,2500,2736.13
A,^GSPC,first,75,4/11/25,2684.99,2500,2558.11
A,^GSPC,first,76,4/11/25,2684.99,2500,2757.28
A,^GSPC,first,77,4/11/25,2684.99,2500,2739.04
A,^GSPC,first,78,4/11/25,2684.99,2500,2704.61
A,^GSPC,first,79,4/11/25,2684.99,2500,2727.67
A,^GSPC,first,80,4/11/25,2684.99,2500,2619.18
A,^GSPC,first,81,4/11/25,2684.99,2500,2711.91
A,^GSPC,first,82,4/11/25,2684.99,2500,2742.24
A,^GSPC,first,83,4/11/25,2684.99,2500,2795.44
A,^GSPC,first,84,4/11/25,2684.99,2500,2600.88
A,^GSPC,first,85,4/11/25,2684.99,2500,2631.13
A,^GSPC,first,86,4/11/25,2684.99,2500,2719.22
A,^GSPC,first,87,4/11/25,2684.99,2500,2724.04
A,^GSPC,first,88,4/11/25,2684.99,2500,2732.7
A,^GSPC,first,89,4/11/25,2684.99,2500,2708.19
A,^GSPC,first,90,4/11/25,2684.99,2500,2611.65
A,^GSPC,first,91,4/11/25,2684.99,2500,2619.24
A,^GSPC,first,92,4/11/25,2684.99,2500,2670.1
A,^GSPC,first,93,4/11/25,2684.99,2500,2661.64
A,^GSPC,first,94,4/11/25,2684.99,2500,2680.82
A,^GSPC,first,95,4/11/25,2684.99,2500,2668.12
A,^GSPC,first,96,4/11/25,2684.99,2500,2743.63
A,^GSPC,first,97,4/11/25,2684.99,2500,2751.76
A,^GSPC,first,98,4/11/25,2684.99,2500,2663.55
A,^GSPC,first,99,4/11/25,2684.99,2500,2646.25
A,^GSPC,first,100,4/11/25,2684.99,2500,2734.56
A,^GSPC,losing,1,4/11/25,2800.51,2600,2646.13
A,^GSPC,losing,2,4/11/25,2800.51,2600,2666.6
A,^GSPC,losing,3,4/11/25,2800.51,2600,2608.15
A,^GSPC,losing,4,4/11/25,2800.51,2600,2793.15
A,^GSPC,losing,5,4/11/25,2800.51,2600,2670.39
A,^GSPC,losing,6,4/11/25,2800.51,2600,2675.61
A,^GSPC,losing,7,4/11/25,2800.51,2600,2735.55
A,^GSPC,losing,8,4/11/25,2800.51,2600,2665.74
A,^GSPC,losing,9,4/11/25,2800.51,2600,2654.89
A,^GSPC,losing,10,4/11/25,2800.51,2600,2653.06
A,^GSPC,losing,11,4/11/25,2800.51,2600,2618.05
A,^GSPC,losing,12,4/11/25,2800.51,2600,2575.47
A,^GSPC,losing,13,4/11/25,2800.51,2600,2777.62
A,^GSPC,losing,14,4/11/25,2800.51,2600,2713.31
A,^GSPC,losing,15,4/11/25,2800.51,2600,2797.73
A,^GSPC,losing,16,4/11/25,2800.51,2600,2700.95
A,^GSPC,losing,17,4/11/25,2800.51,2600,2717.15
A,^GSPC,losing,18,4/11/25,2800.51,2600,2764.18
A,^GSPC,losing,19,4/11/25,2800.51,2600,2739.65
A,^GSPC,losing,20,4/11/25,2800.51,2600,2690.84
A,^GSPC,losing,21,4/11/25,2800.51,2600,2682.4
A,^GSPC,losing,22,4/11/25,2800.51,2600,2747.3
A,^GSPC,losing,23,4/11/25,2800.51,2600,2698.62
A,^GSPC,losing,24,4/11/25,2800.51,2600,2736.67
A,^GSPC,losing,25,4/11/25,2800.51,2600,2693.03
A,^GSPC,losing,26,4/11/25,2800.51,2600,2718.9
A,^GSPC,losing,27,4/11/25,2800.51,2600,2726.54
A,^GSPC,losing,28,4/11/25,2800.51,2600,2772.47
A,^GSPC,losing,29,4/11/25,2800.51,2600,2649.39
A,^GSPC,losing,30,4/11/25,2800.51,2600,2716.8
A,^GSPC,losing,31,4/11/25,2800.51,2600,2783.52
A,^GSPC,losing,32,4/11/25,2800.51,2600,2722.86
A,^GSPC,losing,33,4/11/25,2800.51,2600,2613.88
A,^GSPC,losing,34,4/11/25,2800.51,2600,2711.45
A,^GSPC,losing,35,4/11/25,2800.51,2600,2692.41
A,^GSPC,losing,36,4/11/25,2800.51,2600,2670.77
A,^GSPC,losing,37,4/11/25,2800.51,2600,2614.26
A,^GSPC,losing,38,4/11/25,2800.51,2600,2642.83
A,^GSPC,losing,39,4/11/25,2800.51,2600,2729.48
A,^GSPC,losing,40,4/11/25,2800.51,2600,2726.87
A,^GSPC,losing,41,4/11/25,2800.51,2600,2758.09
A,^GSPC,losing,42,4/11/25,2800.51,2600,2800.44
A,^GSPC,losing,43,4/11/25,2800.51,2600,2622.42
A,^GSPC,losing,44,4/11/25,2800.51,2600,2667.57
A,^GSPC,losing,45,4/11/25,2800.51,2600,2813.09
A,^GSPC,losing,46,4/11/25,2800.51,2600,2733.57
A,^GSPC,losing,47,4/11/25,2800.51,2600,2616.72
A,^GSPC,losing,48,4/11/25,2800.51,2600,2688.75
A,^GSPC,losing,49,4/11/25,2800.51,2600,2686.21
A,^GSPC,losing,50,4/11/25,2800.51,2600,2612.36
A,^GSPC,losing,51,4/11/25,2800.51,2600,2617.71
A,^GSPC,losing,52,4/11/25,2800.51,2600,2731.71
A,^GSPC,losing,53,4/11/25,2800.51,2600,2719.09
A,^GSPC,losing,54,4/11/25,2800.51,2600,2583.99
A,^GSPC,losing,55,4/11/25,2800.51,2600,2693.08
A,^GSPC,losing,56,4/11/25,2800.51,2600,2653.66
A,^GSPC,losing,57,4/11/25,2800.51,2600,2580.71
A,^GSPC,losing,58,4/11/25,2800.51,2600,2663.37
A,^GSPC,losing,59,4/11/25,2800.51,2600,2740.05
A,^GSPC,losing,60,4/11/25,2800.51,2600,2774.43
A,^GSPC,losing,61,4/11/25,2800.51,2600,2703.53
A,^GSPC,losing,62,4/11/25,2800.51,2600,2733.53
A,^GSPC,losing,63,4/11/25,2800.51,2600,2729.68
A,^GSPC,losing,64,4/11/25,2800.51,2600,2766.49
A,^GSPC,losing,65,4/11/25,2800.51,2600,2648.17
A,^GSPC,losing,66,4/11/25,2800.51,2600,2704.51
A,^GSPC,losing,67,4/11/25,2800.51,2600,2719.02
A,^GSPC,losing,68,4/11/25,2800.51,2600,2617.92
A,^GSPC,losing,69,4/11/25,2800.51,2600,2566.28
A,^GSPC,losing,70,4/11/25,2800.51,2600,2767.21
A,^GSPC,losing,71,4/11/25,2800.51,2600,2734.78
A,^GSPC,losing,72,4/11/25,2800.51,2600,2685.41
A,^GSPC,losing,73,4/11/25,2800.51,2600,2663.36
A,^GSPC,losing,74,4/11/25,2800.51,2600,2736.13
A,^GSPC,losing,75,4/11/25,2800.51,2600,2558.11
A,^GSPC,losing,76,4/11/25,2800.51,2600,2757.28
A,^GSPC,losing,77,4/11/25,2800.51,2600,2739.04
A,^GSPC,losing,78,4/11/25,2800.51,2600,2704.61
A,^GSPC,losing,79,4/11/25,2800.51,2600,2727.67
A,^GSPC,losing,80,4/11/25,2800.51,2600,2619.18
A,^GSPC,losing,81,4/11/25,2800.51,2600,2711.91
A,^GSPC,losing,82,4/11/25,2800.51,2600,2742.24
A,^GSPC,losing,83,4/11/25,2800.51,2600,2795.44
A,^GSPC,losing,84,4/11/25,2800.51,2600,2600.88
A,^GSPC,losing,85,4/11/25,2800.51,2600,2631.13
A,^GSPC,losing,86,4/11/25,2800.51,2600,2719.22
A,^GSPC,losing,87,4/11/25,2800.51,2600,2724.04
A,^GSPC,losing,88,4/11/25,2800.51,2600,2732.7
A,^GSPC,losing,89,4/11/25,2800.51,2600,2708.19
A,^GSPC,losing,90,4/11/25,2800.51,2600,2611.65
A,^GSPC,losing,91,4/11/25,2800.51,2600,2619.24
A,^GSPC,losing,92,4/11/25,2800.51,2600,2670.1
A,^GSPC,losing,93,4/11/25,2800.51,2600,2661.64
A,^GSPC,losing,94,4/11/25,2800.51,2600,2680.82
A,^GSPC,losing,95,4/11/25,2800.51,2600,2668.12
A,^GSPC,losing,96,4/11/25,2800.51,2600,2743.63
A,^GSPC,losing,97,4/11/25,2800.51,2600,2751.76
A,^GSPC,losing,98,4/11/25,2800.51,2600,2663.55
A,^GSPC,losing,99,4/11/25,2800.51,2600,2646.25
A,^GSPC,losing,100,4/11/25,2800.51,2600,2734.56
A,^GSPC,growing,1,4/11/25,2702.64,2500,2646.13
A,^GSPC,growing,2,4/11/25,2702.64,2500,2666.6
A,^GSPC,growing,3,4/11/25,2702.64,2500,2608.15
A,^GSPC,growing,4,4/11/25,2702.64,2500,2793.15
A,^GSPC,growing,5,4/11/25,2702.64,2500,2670.39
A,^GSPC,growing,6,4/11/25,2702.64,2500,2675.61
A,^GSPC,growing,7,4/11/25,2702.64,2500,2735.55
A,^GSPC,growing,8,4/11/25,2702.64,2500,2665.74
A,^GSPC,growing,9,4/11/25,2702.64,2500,2654.89
A,^GSPC,growing,10,4/11/25,2702.64,2500,2653.06
A,^GSPC,growing,11,4/11/25,2702.64,2500,2618.05
A,^GSPC,growing,12,4/11/25,2702.64,2500,2575.47
A,^GSPC,growing,13,4/11/25,2702.64,2500,2777.62
A,^GSPC,growing,14,4/11/25,2702.64,2500,2713.31
A,^GSPC,growing,15,4/11/25,2702.64,2500,2797.73
A,^GSPC,growing,16,4/11/25,2702.64,2500,2700.95
A,^GSPC,growing,17,4/11/25,2702.64,2500,2717.15
A,^GSPC,growing,18,4/11/25,2702.64,2500,2764.18
A,^GSPC,growing,19,4/11/25,2702.64,2500,2739.65
A,^GSPC,growing,20,4/11/25,2702.64,2500,2690.84
A,^GSPC,growing,21,4/11/25,2702.64,2500,2682.4
A,^GSPC,growing,22,4/11/25,2702.64,2500,2747.3
A,^GSPC,growing,23,4/11/25,2702.64,2500,2698.62
A,^GSPC,growing,24,4/11/25,2702.64,2500,2736.67
A,^GSPC,growing,25,4/11/25,2702.64,2500,2693.03
A,^GSPC,growing,26,4/11/25,2702.64,2500,2718.9
A,^GSPC,growing,27,4/11/25,2702.64,2500,2726.54
A,^GSPC,growing,28,4/11/25,2702.64,2500,2772.47
A,^GSPC,growing,29,4/11/25,2702.64,2500,2649.39
A,^GSPC,growing,30,4/11/25,2702.64,2500,2716.8
A,^GSPC,growing,31,4/11/25,2702.64,2500,2783.52
A,^GSPC,growing,32,4/11/25,2702.64,2500,2722.86
A,^GSPC,growing,33,4/11/25,2702.64,2500,2613.88
A,^GSPC,growing,34,4/11/25,2702.64,2500,2711.45
A,^GSPC,growing,35,4/11/25,2702.64,2500,2692.41
A,^GSPC,growing,36,4/11/25,2702.64,2500,2670.77
A,^GSPC,growing,37,4/11/25,2702.64,2500,2614.26
A,^GSPC,growing,38,4/11/25,2702.64,2500,2642.83
A,^GSPC,growing,39,4/11/25,2702.64,2500,2729.48
A,^GSPC,growing,40,4/11/25,2702.64,2500,2726.87
A,^GSPC,growing,41,4/11/25,2702.64,2500,2758.09
A,^GSPC,growing,42,4/11/25,2702.64,2500,2800.44
A,^GSPC,growing,43,4/11/25,2702.64,2500,2622.42
A,^GSPC,growing,44,4/11/25,2702.64,2500,2667.57
A,^GSPC,growing,45,4/11/25,2702.64,2500,2813.09
A,^GSPC,growing,46,4/11/25,2702.64,2500,2733.57
A,^GSPC,growing,47,4/11/25,2702.64,2500,2616.72
A,^GSPC,growing,48,4/11/25,2702.64,2500,2688.75
A,^GSPC,growing,49,4/11/25,2702.64,2500,2686.21
A,^GSPC,growing,50,4/11/25,2702.64,2500,2612.36
A,^GSPC,growing,51,4/11/25,2702.64,2500,2617.71
A,^GSPC,growing,52,4/11/25,2702.64,2500,2731.71
A,^GSPC,growing,53,4/11/25,2702.64,2500,2719.09
A,^GSPC,growing,54,4/11/25,2702.64,2500,2583.99
A,^GSPC,growing,55,4/11/25,2702.64,2500,2693.08
A,^GSPC,growing,56,4/11/25,2702.64,2500,2653.66
A,^GSPC,growing,57,4/11/25,2702.64,2500,2580.71
A,^GSPC,growing,58,4/11/25,2702.64,2500,2663.37
A,^GSPC,growing,59,4/11/25,2702.64,2500,2740.05
A,^GSPC,growing,60,4/11/25,2702.64,2500,2774.43
A,^GSPC,growing,61,4/11/25,2702.64,2500,2703.53
A,^GSPC,growing,62,4/11/25,2702.64,2500,2733.53
A,^GSPC,growing,63,4/11/25,2702.64,2500,2729.68
A,^GSPC,growing,64,4/11/25,2702.64,2500,2766.49
A,^GSPC,growing,65,4/11/25,2702.64,2500,2648.17
A,^GSPC,growing,66,4/11/25,2702.64,2500,2704.51
A,^GSPC,growing,67,4/11/25,2702.64,2500,2719.02
A,^GSPC,growing,68,4/11/25,2702.64,2500,2617.92
A,^GSPC,growing,69,4/11/25,2702.64,2500,2566.28
A,^GSPC,growing,70,4/11/25,2702.64,2500,2767.21
A,^GSPC,growing,71,4/11/25,2702.64,2500,2734.78
A,^GSPC,growing,72,4/11/25,2702.64,2500,2685.41
A,^GSPC,growing,73,4/11/25,2702.64,2500,2663.36
A,^GSPC,growing,74,4/11/25,2702.64,2500,2736.13
A,^GSPC,growing,75,4/11/25,2702.64,2500,2558.11
A,^GSPC,growing,76,4/11/25,2702.64,2500,2757.28
A,^GSPC,growing,77,4/11/25,2702.64,2500,2739.04
A,^GSPC,growing,78,4/11/25,2702.64,2500,2704.61
A,^GSPC,growing,79,4/11/25,2702.64,2500,2727.67
A,^GSPC,growing,80,4/11/25,2702.64,2500,2619.18
A,^GSPC,growing,81,4/11/25,2702.64,2500,2711.91
A,^GSPC,growing,82,4/11/25,2702.64,2500,2742.24
A,^GSPC,growing,83,4/11/25,2702.64,2500,2795.44
A,^GSPC,growing,84,4/11/25,2702.64,2500,2600.88
A,^GSPC,growing,85,4/11/25,2702.64,2500,2631.13
A,^GSPC,growing,86,4/11/25,2702.64,2500,2719.22
A,^GSPC,growing,87,4/11/25,2702.64,2500,2724.04
A,^GSPC,growing,88,4/11/25,2702.64,2500,2732.7
A,^GSPC,growing,89,4/11/25,2702.64,2500,2708.19
A,^GSPC,growing,90,4/11/25,2702.64,2500,2611.65
A,^GSPC,growing,91,4/11/25,2702.64,2500,2619.24
A,^GSPC,growing,92,4/11/25,2702.64,2500,2670.1
A,^GSPC,growing,93,4/11/25,2702.64,2500,2661.64
A,^GSPC,growing,94,4/11/25,2702.64,2500,2680.82
A,^GSPC,growing,95,4/11/25,2702.64,2500,2668.12
A,^GSPC,growing,96,4/11/25,2702.64,2500,2743.63
A,^GSPC,growing,97,4/11/25,2702.64,2500,2751.76
A,^GSPC,growing,98,4/11/25,2702.64,2500,2663.55
A,^GSPC,growing,99,4/11/25,2702.64,2500,2646.25
A,^GSPC,growing,100,4/11/25,2702.64,2500,2734.56
A,^GSPC,buythedip,1,4/11/25,129.62,100,2646.13
A,^GSPC,buythedip,2,4/11/25,129.62,100,2666.6
A,^GSPC,buythedip,3,4/11/25,129.62,100,2608.15
A,^GSPC,buythedip,4,4/11/25,129.62,100,2793.15
A,^GSPC,buythedip,5,4/11/25,129.62,100,2670.39
A,^GSPC,buythedip,6,4/11/25,129.62,100,2675.61
A,^GSPC,buythedip,7,4/11/25,129.62,100,2735.55
A,^GSPC,buythedip,8,4/11/25,129.62,100,2665.74
A,^GSPC,buythedip,9,4/11/25,129.62,100,2654.89
A,^GSPC,buythedip,10,4/11/25,129.62,100,2653.06
A,^GSPC,buythedip,11,4/11/25,129.62,100,2618.05
A,^GSPC,buythedip,12,4/11/25,129.62,100,2575.47
A,^GSPC,buythedip,13,4/11/25,129.62,100,2777.62
A,^GSPC,buythedip,14,4/11/25,129.62,100,2713.31
A,^GSPC,buythedip,15,4/11/25,129.62,100,2797.73
A,^GSPC,buythedip,16,4/11/25,129.62,100,2700.95
A,^GSPC,buythedip,17,4/11/25,129.62,100,2717.15
A,^GSPC,buythedip,18,4/11/25,129.62,100,2764.18
A,^GSPC,buythedip,19,4/11/25,129.62,100,2739.65
A,^GSPC,buythedip,20,4/11/25,129.62,100,2690.84
A,^GSPC,buythedip,21,4/11/25,129.62,100,2682.4
A,^GSPC,buythedip,22,4/11/25,129.62,100,2747.3
A,^GSPC,buythedip,23,4/11/25,129.62,100,2698.62
A,^GSPC,buythedip,24,4/11/25,129.62,100,2736.67
A,^GSPC,buythedip,25,4/11/25,129.62,100,2693.03
A,^GSPC,buythedip,26,4/11/25,129.62,100,2718.9
A,^GSPC,buythedip,27,4/11/25,129.62,100,2726.54
A,^GSPC,buythedip,28,4/11/25,129.62,100,2772.47
A,^GSPC,buythedip,29,4/11/25,129.62,100,2649.39
A,^GSPC,buythedip,30,4/11/25,129.62,100,2716.8
A,^GSPC,buythedip,31,4/11/25,129.62,100,2783.52
A,^GSPC,buythedip,32,4/11/25,129.62,100,2722.86
A,^GSPC,buythedip,33,4/11/25,129.62,100,2613.88
A,^GSPC,buythedip,34,4/11/25,129.62,100,2711.45
A,^GSPC,buythedip,35,4/11/25,129.62,100,2692.41
A,^GSPC,buythedip,36,4/11/25,129.62,100,2670.77
A,^GSPC,buythedip,37,4/11/25,129.62,100,2614.26
A,^GSPC,buythedip,38,4/11/25,129.62,100,2642.83
A,^GSPC,buythedip,39,4/11/25,129.62,100,2729.48
A,^GSPC,buythedip,40,4/11/25,129.62,100,2726.87
A,^GSPC,buythedip,41,4/11/25,129.62,100,2758.09
A,^GSPC,buythedip,42,4/11/25,129.62,100,2800.44
A,^GSPC,buythedip,43,4/11/25,129.62,100,2622.42
A,^GSPC,buythedip,44,4/11/25,129.62,100,2667.57
A,^GSPC,buythedip,45,4/11/25,129.62,100,2813.09
A,^GSPC,buythedip,46,4/11/25,129.62,100,2733.57
A,^GSPC,buythedip,47,4/11/25,129.62,100,2616.72
A,^GSPC,buythedip,48,4/11/25,129.62,100,2688.75
A,^GSPC,buythedip,49,4/11/25,129.62,100,2686.21
A,^GSPC,buythedip,50,4/11/25,129.62,100,2612.36
A,^GSPC,buythedip,51,4/11/25,129.62,100,2617.71
A,^GSPC,buythedip,52,4/11/25,129.62,100,2731.71
A,^GSPC,buythedip,53,4/11/25,129.62,100,2719.09
A,^GSPC,buythedip,54,4/11/25,129.62,100,2583.99
A,^GSPC,buythedip,55,4/11/25,129.62,100,2693.08
A,^GSPC,buythedip,56,4/11/25,129.62,100,2653.66
A,^GSPC,buythedip,57,4/11/25,129.62,100,2580.71
A,^GSPC,buythedip,58,4/11/25,129.62,100,2663.37
A,^GSPC,buythedip,59,4/11/25,129.62,100,2740.05
A,^GSPC,buythedip,60,4/11/25,129.62,100,2774.43
A,^GSPC,buythedip,61,4/11/25,129.62,100,2703.53
A,^GSPC,buythedip,62,4/11/25,129.62,100,2733.53
A,^GSPC,buythedip,63,4/11/25,129.62,100,2729.68
A,^GSPC,buythedip,64,4/11/25,129.62,100,2766.49
A,^GSPC,buythedip,65,4/11/25,129.62,100,2648.17
A,^GSPC,buythedip,66,4/11/25,129.62,100,2704.51
A,^GSPC,buythedip,67,4/11/25,129.62,100,2719.02
A,^GSPC,buythedip,68,4/11/25,129.62,100,2617.92
A,^GSPC,buythedip,69,4/11/25,129.62,100,2566.28
A,^GSPC,buythedip,70,4/11/25,129.62,100,2767.21
A,^GSPC,buythedip,71,4/11/25,129.62,100,2734.78
A,^GSPC,buythedip,72,4/11/25,129.62,100,2685.41
A,^GSPC,buythedip,73,4/11/25,129.62,100,2663.36
A,^GSPC,buythedip,74,4/11/25,129.62,100,2736.13
A,^GSPC,buythedip,75,4/11/25,129.62,100,2558.11
A,^GSPC,buythedip,76,4/11/25,129.62,100,2757.28
A,^GSPC,buythedip,77,4/11/25,129.62,100,2739.04
A,^GSPC,buythedip,78,4/11/25,129.62,100,2704.61
A,^GSPC,buythedip,79,4/11/25,129.62,100,2727.67
A,^GSPC,buythedip,80,4/11/25,129.62,100,2619.18
A,^GSPC,buythedip,81,4/11/25,129.62,100,2711.91
A,^GSPC,buythedip,82,4/11/25,129.62,100,2742.24
A,^GSPC,buythedip,83,4/11/25,129.62,100,2795.44
A,^GSPC,buythedip,84,4/11/25,129.62,100,2600.88
A,^GSPC,buythedip,85,4/11/25,129.62,100,2631.13
A,^GSPC,buythedip,86,4/11/25,129.62,100,2719.22
A,^GSPC,buythedip,87,4/11/25,129.62,100,2724.04
A,^GSPC,buythedip,88,4/11/25,129.62,100,2732.7
A,^GSPC,buythedip,89,4/11/25,129.62,100,2708.19
A,^GSPC,buythedip,90,4/11/25,129.62,100,2611.65
A,^GSPC,buythedip,91,4/11/25,129.62,100,2619.24
A,^GSPC,buythedip,92,4/11/25,129.62,100,2670.1
A,^GSPC,buythedip,93,4/11/25,129.62,100,2661.64
A,^GSPC,buythedip,94,4/11/25,129.62,100,2680.82
A,^GSPC,buythedip,95,4/11/25,129.62,100,2668.12
A,^GSPC,buythedip,96,4/11/25,129.62,100,2743.63
A,^GSPC,buythedip,97,4/11/25,129.62,100,2751.76
A,^GSPC,buythedip,98,4/11/25,129.62,100,2663.55
A,^GSPC,buythedip,99,4/11/25,129.62,100,2646.25
A,^GSPC,buythedip,100,4/11/25,129.62,100,2734.56
A,^GSPC,0.98buythedip,1,4/11/25,2522.62,4100,2646.13
A,^GSPC,0.98buythedip,2,4/11/25,2522.62,4100,2666.6
A,^GSPC,0.98buythedip,3,4/11/25,2522.62,4100,2608.15
A,^GSPC,0.98buythedip,4,4/11/25,2522.62,4100,2793.15
A,^GSPC,0.98buythedip,5,4/11/25,2522.62,4100,2670.39
A,^GSPC,0.98buythedip,6,4/11/25,2522.62,4100,2675.61
A,^GSPC,0.98buythedip,7,4/11/25,2522.62,4100,2735.55
A,^GSPC,0.98buythedip,8,4/11/25,2522.62,4100,2665.74
A,^GSPC,0.98buythedip,9,4/11/25,2522.62,4100,2654.89
A,^GSPC,0.98buythedip,10,4/11/25,2522.62,4100,2653.06
A,^GSPC,0.98buythedip,11,4/11/25,2522.62,4100,2618.05
A,^GSPC,0.98buythedip,12,4/11/25,2522.62,4100,2575.47
A,^GSPC,0.98buythedip,13,4/11/25,2522.62,4100,2777.62
A,^GSPC,0.98buythedip,14,4/11/25,2522.62,4100,2713.31
A,^GSPC,0.98buythedip,15,4/11/25,2522.62,4100,2797.73
A,^GSPC,0.98buythedip,16,4/11/25,2522.62,4100,2700.95
A,^GSPC,0.98buythedip,17,4/11/25,2522.62,4100,2717.15
A,^GSPC,0.98buythedip,18,4/11/25,2522.62,4100,2764.18
A,^GSPC,0.98buythedip,19,4/11/25,2522.62,4100,2739.65
A,^GSPC,0.98buythedip,20,4/11/25,2522.62,4100,2690.84
A,^GSPC,0.98buythedip,21,4/11/25,2522.62,4100,2682.4
A,^GSPC,0.98buythedip,22,4/11/25,2522.62,4100,2747.3
A,^GSPC,0.98buythedip,23,4/11/25,2522.62,4100,2698.62
A,^GSPC,0.98buythedip,24,4/11/25,2522.62,4100,2736.67
A,^GSPC,0.98buythedip,25,4/11/25,2522.62,4100,2693.03
A,^GSPC,0.98buythedip,26,4/11/25,2522.62,4100,2718.9
A,^GSPC,0.98buythedip,27,4/11/25,2522.62,4100,2726.54
A,^GSPC,0.98buythedip,28,4/11/25,2522.62,4100,2772.47
A,^GSPC,0.98buythedip,29,4/11/25,2522.62,4100,2649.39
A,^GSPC,0.98buythedip,30,4/11/25,2522.62,4100,2716.8
A,^GSPC,0.98buythedip,31,4/11/25,2522.62,4100,2783.52
A,^GSPC,0.98buythedip,32,4/11/25,2522.62,4100,2722.86
A,^GSPC,0.98buythedip,33,4/11/25,2522.62,4100,2613.88
